patent_id	mainclass_id
3861919	430
3862352	430
3862352	174
3862352	257
3862352	361
3862843	430
3863230	365
3863230	326
3863230	327
3866358	451
3867235	428
3867235	156
3867235	351
3867235	359
3869195	349
3869199	126
3869199	359
3876887	327
3876887	330
3877368	101
3877788	356
3877801	353
3877801	359
3877937	430
3877937	548
3878398	250
3878398	101
3878544	396
3879197	430
3884149	430
3884149	101
3884149	396
3885966	430
3886415	361
3886415	174
3888668	430
3891190	257
3891190	148
3893761	399
3893761	118
3893761	219
3893761	430
3893857	430
3893857	106
3893857	427
3899333	430
3900972	451
3902277	451
3903400	708
3903400	250
3903797	101
3904188	271
3904274	359
3904274	310
3904274	313
3906462	365
3910675	359
3911263	362
3911263	226
3912395	356
3912507	430
3912507	548
3918149	438
3918149	148
3918149	204
3918149	257
3919711	257
3921080	327
3921080	356
3921571	118
3921571	399
3921578	399
3922520	219
3922520	392
3923385	351
3923392	399
3923400	356
3923400	359
3924232	342
3924232	250
3932848	365
3936813	365
3936813	257
3936813	327
3937983	326
3937983	327
3938108	365
3938108	326
3938108	327
3938109	365
3938109	326
3938109	327
3944990	365
3944990	257
3944990	377
3946368	365
3946368	377
3946369	365
3946369	326
3946369	327
3959781	365
3959781	327
3975671	363
3975671	307
3975671	968
3978459	365
3984822	365
3984822	257
3984822	438
3986903	438
3986903	148
3986903	257
3986903	29
3989353	349
3996657	438
3996657	257
3997381	438
3997381	148
3997381	252
3997381	257
4000413	326
4000413	327
4002931	326
4002931	257
4005455	257
4007452	365
4007452	257
4007452	327
4007452	711
4008429	323
4008429	363
4008429	368
4008429	968
4010449	710
4010449	712
4012757	257
4012757	365
4013484	438
4013484	148
4013484	257
4013489	438
4013489	148
4013489	257
4026733	438
4026733	148
4026733	257
4026740	438
4026740	148
4026740	257
4031379	708
4031379	326
4033026	438
4033026	257
4036550	349
4038646	365
4038646	327
4041333	327
4041333	326
4043636	349
4043636	359
4043636	968
4048518	326
4051358	708
4051358	326
4051358	327
4052229	438
4052229	257
4053349	438
4053349	257
4063409	368
4063409	968
4079462	365
4079462	326
4079462	327
4084869	439
4087704	327
4087704	365
4092619	333
4092619	257
4092661	257
4093873	377
4093873	327
4093873	331
4093873	368
4093873	968
4094012	365
4094012	326
4094012	327
4096584	365
4096584	327
4099196	257
4099196	327
4099196	365
4099236	710
4099236	712
4100437	327
4100437	323
4100437	330
4103189	326
4103189	327
4112490	710
4114255	438
4114255	257
4119955	463
4119955	178
4119955	715
4119995	257
4119995	365
4122550	365
4142926	438
4142926	148
4142926	257
4146882	341
4152761	718
4152775	708
4153933	711
4153933	714
4168440	327
4168440	333
4169262	345
4169262	463
4176258	714
4178674	438
4178674	257
4180826	257
4180826	148
4180826	365
4180826	438
4195258	324
4195258	714
4198250	438
4198250	148
4198250	257
4203158	365
4203158	257
4203158	326
4203158	327
4207615	365
4207615	257
4223394	365
4223394	327
4231811	438
4231811	148
4231811	250
4231811	257
4231811	430
4247862	257
4247862	148
4247862	438
4247917	365
4247917	326
4247917	327
4250570	365
4250570	326
4250570	327
4250570	711
4250570	714
4257095	710
4264828	326
4264828	365
4266283	365
4266283	257
4266283	327
4267632	438
4267632	257
4270167	710
4270167	712
4272880	438
4272880	148
4272880	257
4282648	438
4282648	148
4282648	257
4287570	365
4287570	327
4293848	341
4296340	327
4306163	326
4315308	710
4315310	710
4315310	711
4319325	708
4322737	257
4322737	165
4325120	711
4330931	438
4330931	148
4330931	257
4338675	708
4338675	712
4338675	714
4342617	438
4342617	257
4342617	427
4342617	430
4352236	438
4352236	257
4358833	365
4358833	714
4363091	711
4363091	712
4364075	257
4367524	712
4372034	438
4372034	257
4374915	430
4374915	216
4376300	365
4376300	714
4383165	219
4383165	257
4387427	718
4387427	719
4388147	438
4388147	257
4388147	65
4398207	257
4400799	365
4402046	709
4406013	377
4406013	365
4407016	710
4407016	711
4409259	438
4409259	257
4409259	427
4412310	365
4412310	257
4412375	438
4412375	257
4415969	712
4415969	703
4432069	365
4436579	216
4436579	427
4437025	326
4437171	365
4437171	257
4437171	326
4437171	327
4438494	714
4441170	365
4441170	714
4441247	438
4441247	257
4442484	711
4446613	438
4446613	257
4447290	438
4447290	204
4447290	252
4447290	257
4447878	710
4447878	370
4449184	711
4449184	712
4449207	365
4449207	326
4449207	327
4450365	327
4451748	327
4451748	326
4453237	365
4460915	257
4460915	174
4460981	365
4460982	365
4460982	714
4468759	365
4473880	710
4474624	438
4474624	257
4480307	710
4484259	708
4484259	712
4484259	714
4496861	327
4499428	330
4503534	714
4503535	714
4505026	438
4505026	257
4509144	708
4509144	712
4509144	714
4514827	365
4519050	365
4519050	257
4519849	438
4519849	257
4527180	257
4527180	361
4530074	365
4530074	257
4536947	438
4536947	148
4536947	257
4543594	257
4543594	327
4543594	365
4543594	714
4546472	714
4547867	365
4551910	438
4551910	148
4551910	257
4570220	710
4571709	365
4573045	370
4573045	714
4574250	330
4574250	341
4577295	365
4577295	257
4584492	326
4584492	327
4584672	365
4584672	327
4587138	438
4587138	257
4587138	430
4599573	330
4602314	361
4602314	165
4602314	174
4602314	257
4613886	257
4613886	365
4620986	438
4620986	257
4621319	714
4621319	715
4633223	341
4633223	330
4633425	708
4633425	333
4633425	341
4633425	375
4642798	365
4642798	326
4645947	327
4645947	377
4648804	417
4648804	118
4649300	326
4654958	438
4654958	257
4658160	327
4658160	365
4659094	279
4659094	33
4664941	427
4666555	438
4666555	204
4666555	252
4666555	257
4668041	439
4668041	324
4674089	714
4674089	703
4675556	326
4675556	340
4675556	341
4675556	708
4676699	406
4680635	348
4682396	29
4682396	33
4685084	365
4685084	711
4690728	438
4690728	204
4690728	216
4690728	257
4690728	29
4690728	338
4690728	427
4694412	708
4694412	380
4694412	713
4694425	365
4696526	439
4696526	174
4696526	257
4700328	365
4700454	438
4700454	257
4710647	327
4713141	438
4713141	204
4713141	252
4713141	257
4721548	438
4721548	252
4721548	257
4721548	427
4722005	348
4722005	345
4727309	323
4727518	365
4727518	257
4728243	414
4728617	438
4728617	148
4728617	257
4737926	708
4755480	438
4755480	148
4755480	257
4757026	438
4757026	148
4757026	257
4757468	713
4757468	710
4757468	711
4761647	340
4761647	326
4761647	370
4761647	375
4766372	324
4766372	250
4766372	850
4768170	365
4768170	327
4768170	374
4771018	228
4771018	148
4771018	257
4771018	29
4771018	438
4774201	438
4774201	148
4774201	257
4775550	438
4775550	257
4775550	427
4778775	438
4778775	148
4778775	257
4780424	438
4780424	257
4780709	345
4780709	715
4780814	710
4782439	710
4783757	708
4784965	438
4784965	148
4784965	257
4785396	710
4785396	370
4785396	375
4785396	714
4785423	365
4785428	365
4786612	438
4786612	148
4786612	257
4788640	711
4790661	356
4790661	359
4790920	204
4790920	257
4790920	438
4791326	327
4792955	714
4794278	327
4796230	365
4796230	326
4797852	345
4797852	382
4797856	365
4798918	174
4798918	333
4803622	710
4803622	712
4803659	365
4803659	327
4803946	118
4803946	156
4803946	222
4806202	438
4806202	148
4806202	204
4806202	257
4807109	713
4808259	438
4808259	134
4808259	204
4808259	252
4808259	257
4808855	326
4808855	327
4808855	365
4810671	228
4810671	148
4810671	257
4810671	29
4810671	438
4811208	711
4811208	712
4814286	438
4814286	257
4816700	327
4818711	438
4818711	257
4819081	327
4819081	331
4819081	375
4821096	327
4821096	257
4821271	714
4823260	712
4823260	708
4823314	365
4823314	257
4824496	156
4824767	430
4824767	257
4824767	438
4827344	348
4829258	327
4829258	331
4829258	375
4829425	711
4833099	438
4833099	148
4833099	257
4835458	324
4835458	257
4835458	365
4835458	714
4837185	438
4837185	204
4837185	257
4837185	427
4841482	365
4841482	714
4843026	438
4843026	257
4843026	365
4849661	326
4849661	323
4849661	327
4850883	439
4853846	710
4853846	711
4853846	712
4853849	711
4858186	365
4859938	324
4860195	711
4860195	714
4860261	365
4860261	714
4860322	375
4860322	327
4860322	714
4868653	375
4868653	386
4868992	33
4870224	174
4870224	257
4870224	29
4875188	365
4875188	307
4875191	365
4875191	327
4878200	365
4878376	73
4881194	712
4885262	438
4885262	257
4888503	327
4888503	365
4891687	257
4891753	712
4898058	83
4898058	156
4901270	708
4903270	714
4904881	326
4904881	706
4904881	708
4905180	708
4906865	706
4906865	327
4912631	711
4914318	327
4914318	326
4917044	118
4917044	257
4917044	439
4917613	439
4918523	375
4918523	360
4918523	369
4918523	386
4918523	G9B
4926387	365
4928259	708
4930097	708
4930097	326
4930098	708
4930098	326
4933206	427
4933206	219
4933206	257
4937476	326
4937476	327
4937476	330
4939692	365
4939724	370
4949140	257
4949140	365
4949291	708
4949291	712
4950917	706
4950917	257
4950917	326
4956564	365
4956564	326
4956564	706
4956564	708
4957877	438
4957877	257
4958133	330
4961002	365
4961002	326
4961002	706
4961002	708
4961812	156
4961812	204
4961812	216
4963825	365
4963825	714
4964080	365
4964080	257
4965752	345
4965752	382
4966868	438
4966868	257
4967196	341
4972338	711
4975163	205
4975598	326
4975605	327
4975605	377
4975702	341
4975831	710
4975831	714
4975883	365
4976002	15
4980018	438
4980018	257
4980019	438
4980019	204
4980585	327
4980585	708
4982400	370
4983907	324
4983958	345
4985640	327
4992980	365
4994695	327
4999525	326
4999525	706
4999525	708
5006962	361
5006962	439
5010508	708
5018111	365
5021684	326
5021684	327
5023775	326
5023775	706
5023775	708
5023844	365
5023844	711
5027308	708
5027311	708
5027321	365
5028810	365
5028810	326
5028810	706
5028810	708
5031141	365
5031141	711
5031142	365
5034980	713
5034980	705
5034980	708
5035062	33
5035768	216
5035768	204
5035768	252
5035768	257
5035768	438
5036230	327
5036230	377
5036482	708
5037778	228
5037778	148
5037778	257
5037778	29
5037778	438
5039941	324
5040134	706
5040134	365
5040134	382
5040134	708
5041963	370
5041963	709
5043938	709
5043938	370
5045853	341
5045853	375
5046046	365
5047367	438
5047367	148
5047367	257
5047922	710
5047975	708
5047989	365
5047989	711
5048195	33
5049515	438
5049515	257
