patent_id	appyear
3861919	1972
3862352	1968
3862843	1972
3863230	1973
3866358	1973
3867235	1972
3869195	1973
3869199	1973
3876887	1973
3877368	1972
3877788	1973
3877801	1973
3877937	1973
3878398	1973
3878544	1973
3879197	1969
3884149	1974
3885966	1973
3886415	1972
3888668	1972
3891190	1974
3893761	1973
3893857	1972
3899333	1973
3900972	1974
3902277	1974
3903400	1973
3903797	1970
3904188	1974
3904274	1973
3906462	1973
3910675	1974
3911263	1974
3912395	1970
3912507	1973
3918149	1974
3919711	1973
3921080	1974
3921571	1974
3921578	1972
3922520	1974
3923385	1974
3923392	1973
3923400	1974
3924232	1974
3932848	1975
3936813	1975
3937983	1975
3938108	1975
3938109	1975
3944990	1974
3946368	1974
3946369	1975
3959781	1974
3975671	1975
3978459	1975
3984822	1974
3986903	1974
3989353	1975
3996657	1976
3997381	1975
4000413	1975
4002931	1975
4005455	1974
4007452	1975
4008429	1975
4010449	1974
4012757	1975
4013484	1976
4013489	1976
4026733	1975
4026740	1975
4031379	1976
4033026	1975
4036550	1975
4038646	1976
4041333	1975
4043636	1975
4048518	1976
4051358	1976
4052229	1976
4053349	1976
4063409	1976
4079462	1976
4084869	1976
4087704	1976
4092619	1976
4092661	1976
4093873	1976
4094012	1976
4096584	1977
4099196	1977
4099236	1977
4100437	1976
4103189	1977
4112490	1976
4114255	1977
4119955	1977
4119995	1977
4122550	1978
4142926	1978
4146882	1976
4152761	1976
4152775	1977
4153933	1978
4168440	1978
4169262	1977
4176258	1978
4178674	1978
4180826	1978
4195258	1977
4198250	1979
4203158	1978
4207615	1978
4223394	1979
4231811	1979
4247862	1978
4247917	1979
4250570	1978
4257095	1978
4264828	1978
4266283	1979
4267632	1979
4270167	1978
4272880	1979
4282648	1980
4287570	1979
4293848	1979
4296340	1979
4306163	1979
4315308	1978
4315310	1979
4319325	1980
4322737	1979
4325120	1978
4330931	1981
4338675	1980
4342617	1981
4352236	1981
4358833	1980
4363091	1978
4364075	1980
4367524	1980
4372034	1981
4374915	1981
4376300	1981
4383165	1981
4387427	1980
4388147	1982
4398207	1981
4400799	1981
4402046	1981
4406013	1980
4407016	1981
4409259	1982
4412310	1980
4412375	1982
4415969	1980
4432069	1981
4436579	1983
4437025	1981
4437171	1982
4438494	1981
4441170	1981
4441247	1981
4442484	1980
4446613	1981
4447290	1983
4447878	1981
4449184	1981
4449207	1982
4450365	1981
4451748	1982
4453237	1983
4460915	1981
4460981	1981
4460982	1982
4468759	1982
4473880	1982
4474624	1982
4480307	1982
4484259	1982
4496861	1982
4499428	1983
