patent_id	inventor_id
3861919	3861919-1
3862352	3862352-1
3862843	3862843-1
3863230	3863230-1
3863230	3863230-2
3866358	3866358-1
3867235	3867235-1
3867235	3867235-2
3867235	3867235-3
3869195	3869195-1
3869195	3869195-2
3869195	3869195-3
3869199	3869199-1
3876887	3863230-1
3877368	3877368-1
3877788	3870367-1
3877788	3877788-1
3877801	3910675-1
3877937	3877937-1
3877937	3877937-2
3878398	3878398-1
3878544	3878384-1
3879197	3879197-1
3879197	3879197-2
3884149	3884149-1
3885966	3885966-1
3885966	3885966-2
3885966	3885966-3
3886415	3886415-1
3888668	3877937-2
3891190	3891190-1
3893761	3893761-1
3893761	3893761-2
3893857	3893857-1
3899333	3862352-1
3899333	3899333-1
3900972	3866358-1
3902277	3866358-1
3903400	3903400-1
3903797	3879197-1
3903797	3879197-2
3904188	3904188-1
3904188	3904188-2
3904274	3869195-2
3904274	3904274-1
3906462	3869195-2
3906462	3904274-1
3910675	3910675-1
3911263	3911263-1
3912395	3912395-1
3912507	3877937-1
3912507	3877937-2
3918149	3918149-1
3919711	3919711-1
3921080	3921080-1
3921571	3893761-1
3921571	3921571-2
3921578	3886415-1
3921578	3921578-1
3922520	3893761-1
3923385	3923385-1
3923392	3886415-1
3923392	3893761-1
3923392	3893761-2
3923392	3921578-1
3923400	3921080-1
3924232	3924232-1
3924232	3924232-2
3932848	3932848-1
3936813	3936813-1
3937983	3863230-1
3938108	3891977-1
3938108	3938108-2
3938109	3863230-2
3938109	3938109-2
3938109	3938109-3
3944990	3919711-1
3946368	3919711-1
3946369	3946369-1
3959781	3959781-1
3959781	3959781-2
3975671	3975671-1
3978459	3978459-1
3984822	3891977-1
3984822	3984822-1
3986903	4005455-2
3989353	3989353-1
3996657	3891977-1
3996657	3984822-1
3997381	3997381-1
4000413	4000413-1
4000413	4000413-2
4002931	3936813-1
4002931	4002931-2
4005455	4005455-1
4005455	4005455-2
4007452	4007452-1
4008429	3989353-1
4010449	4010449-1
4010449	4010449-2
4010449	4010449-3
4012757	3978459-1
4013484	4013484-1
4013484	5935733-2
4013489	4013489-1
4026733	3946369-1
4026733	4026733-1
4026733	4026733-2
4026740	4026733-2
4031379	4007354-1
4033026	3946369-1
4036550	4036550-1
4038646	3959781-2
4038646	4038646-1
4041333	3932848-1
4043636	4031348-1
4043636	4043636-1
4048518	3978459-1
4051358	4007354-1
4052229	3946369-1
4053349	3984822-1
4063409	4063409-1
4079462	3978459-1
4084869	4084869-1
4087704	3959781-1
4087704	3959781-2
4092619	4092619-1
4092661	4005455-2
4093873	4093873-1
4093873	4093873-2
